time_s,cumulative_reflected,cumulative_stuck,cumulative_absorbed
0.0003884,264,325,3
0.0003885,264,325,3
0.0003886,264,325,3
0.0003887,264,325,3
0.0003888,264,325,3
0.0003889,264,325,3
0.000389,264,325,3
0.0003891,264,325,3
0.0003892,264,325,3
0.0003893,264,325,3
0.0003894,264,325,3
0.0003895,264,325,3
0.0003896,264,325,3
0.0003897,264,325,3
0.0003898,264,325,3
0.0003899,264,325,3
0.00039,264,325,3
0.0003901,264,325,3
0.0003902,264,325,3
0.0003903,264,325,3
0.0003904,264,325,3
0.0003905,264,325,3
0.0003906,264,325,3
0.0003907,264,325,3
0.0003908,264,325,3
0.0003909,264,325,3
0.000391,264,325,3
0.0003911,264,325,3
0.0003912,264,325,3
0.0003913,264,325,3
0.0003914,264,325,3
0.0003915,264,325,3
0.0003916,264,325,3
0.0003917,264,325,3
0.0003918,264,325,3
0.0003919,264,325,3
0.000392,264,325,3
0.0003921,264,325,3
0.0003922,264,325,3
0.0003923,264,325,3
0.0003924,264,325,3
0.0003925,264,325,3
0.0003926,264,325,3
0.0003927,264,325,3
0.0003928,264,325,3
0.0003929,264,325,3
0.000393,264,325,3
0.0003931,264,325,3
0.0003932,264,325,3
0.0003933,264,325,3
0.0003934,264,325,3
0.0003935,264,325,3
0.0003936,264,325,3
0.0003937,264,325,3
0.0003938,264,325,3
0.0003939,264,325,3
0.000394,264,325,3
0.0003941,264,325,3
0.0003942,264,325,3
0.0003943,264,325,3
0.0003944,264,325,3
0.0003945,264,325,3
0.0003946,264,325,3
0.0003947,264,325,3
0.0003948,264,325,3
0.0003949,264,325,3
0.000395,264,325,3
0.0003951,264,325,3
0.0003952,264,325,3
0.0003953,264,325,3
0.0003954,264,325,3
0.0003955,264,325,3
0.0003956,264,325,3
0.0003957,264,325,3
0.0003958,264,325,3
0.0003959,264,325,3
0.000396,264,325,3
0.0003961,264,325,3
0.0003962,264,325,3
0.0003963,264,325,3
0.0003964,264,325,3
0.0003965,264,325,3
0.0003966,264,325,3
0.0003967,264,325,3
0.0003968,264,325,3
0.0003969,264,325,3
0.000397,264,325,3
0.0003971,264,325,3
0.0003972,264,325,3
0.0003973,264,325,3
0.0003974,264,325,3
0.0003975,264,325,3
0.0003976,264,325,3
0.0003977,264,325,3
0.0003978,264,325,3
0.0003979,264,325,3
0.000398,264,325,3
0.0003981,264,325,3
0.0003982,264,325,3
0.0003983,264,325,3
0.0003984,264,325,3
0.0003985,264,325,3
0.0003986,264,325,3
0.0003987,264,325,3
0.0003988,264,325,3
0.0003989,264,325,3
0.000399,264,325,3
0.0003991,264,325,3
0.0003992,264,325,3
0.0003993,264,325,3
0.0003994,264,325,3
0.0003995,264,325,3
0.0003996,264,325,3
0.0003997,264,325,3
0.0003998,264,325,3
0.0003999,264,325,3
0.0004,264,325,3
0.0004001,264,325,3
0.0004002,264,325,3
0.0004003,264,325,3
0.0004004,264,325,3
0.0004005,264,325,3
0.0004006,264,325,3
0.0004007,264,325,3
0.0004008,264,325,3
0.0004009,264,325,3
0.000401,264,325,3
0.0004011,264,325,3
0.0004012,264,325,3
0.0004013,264,325,3
0.0004014,264,325,3
0.0004015,264,325,3
0.0004016,264,325,3
0.0004017,264,325,3
0.0004018,264,325,3
0.0004019,264,325,3
0.000402,264,325,3
0.0004021,264,325,3
0.0004022,264,325,3
0.0004023,264,325,3
0.0004024,264,325,3
0.0004025,264,325,3
0.0004026,264,325,3
0.0004027,264,325,3
0.0004028,264,325,3
0.0004029,264,325,3
0.000403,264,325,3
0.0004031,264,325,3
0.0004032,264,325,3
0.0004033,264,325,3
0.0004034,264,325,3
0.0004035,264,325,3
0.0004036,264,325,3
0.0004037,264,325,3
0.0004038,264,325,3
0.0004039,264,325,3
0.000404,264,325,3
0.0004041,264,325,3
0.0004042,264,325,3
0.0004043,264,325,3
0.0004044,264,325,3
0.0004045,264,325,3
0.0004046,264,325,3
0.0004047,264,325,3
0.0004048,264,325,3
0.0004049,264,325,3
0.000405,264,325,3
0.0004051,264,325,3
0.0004052,264,325,3
0.0004053,264,325,3
0.0004054,264,325,3
0.0004055,264,325,3
0.0004056,264,325,3
0.0004057,264,325,3
0.0004058,264,325,3
0.0004059,264,325,3
0.000406,264,325,3
0.0004061,264,325,3
0.0004062,264,325,3
0.0004063,264,325,3
0.0004064,264,325,3
0.0004065,264,325,3
0.0004066,264,325,3
0.0004067,264,325,3
0.0004068,264,325,3
0.0004069,264,325,3
0.000407,264,325,3
0.0004071,264,325,3
0.0004072,264,325,3
0.0004073,264,325,3
0.0004074,264,325,3
0.0004075,264,325,3
0.0004076,264,325,3
0.0004077,264,325,3
