particle_id,release_time,source_part_id,material_id,source_event_tag,x,vx,y,vy
6375,0.25496,3,1,,0.0590829304887274,0.0,0.0251144594220769,0.0
6376,0.255,4,2,,0.0329929262615566,0.0,0.0238147822293853,0.0
6377,0.25504,5,1,,0.0165353344421985,0.0,0.0211898582304646,0.0
6378,0.25508,6,2,,0.0677720995484645,0.0,-0.0092372395678685,0.0
6379,0.25512,7,1,,0.0591261566359069,0.0,0.0290063400202112,0.0
6380,0.25516,8,2,,0.0609986600526116,0.0,-0.017490677657641,0.0
6381,0.2552,9,1,,0.0265629853662676,0.0,0.0220688599013042,0.0
6382,0.25524,10,2,,0.0932796790739546,0.0,-0.0325183252950585,0.0
6383,0.25528,11,1,,0.0614621197188589,0.0,0.0392447008441191,0.0
6384,0.25532,12,2,,0.058607561399141,0.0,0.0088240723869915,0.0
6385,0.25536,1,1,,0.0483424835917312,0.0,0.0214244788194815,0.0
6386,0.2554,2,2,,0.0828575330360953,0.0,0.0152784329330072,0.0
6387,0.25544,3,1,,0.0390288298330632,0.0,0.0199998767332938,0.0
6388,0.25548,4,2,,0.058984115806682,0.0,-0.0185110021861583,0.0
6389,0.25552,5,1,,0.092826803460943,0.0,0.0128529450395972,0.0
6390,0.25556,6,2,,0.0727011393663014,0.0,0.0593546618768911,0.0
6391,0.2556,7,1,,0.0831169554774129,0.0,-0.0067585899417601,0.0
6392,0.25564,8,2,,0.081591064330428,0.0,-0.0201089110102039,0.0
6393,0.25568,9,1,,0.0929000273942747,0.0,1.0178644389874162e-06,0.0
6394,0.25572,10,2,,0.0665548287908383,0.0,-0.0275624328231665,0.0
6395,0.25576,11,1,,0.0657786427213351,0.0,0.053635372034099,0.0
6396,0.2558,12,2,,0.0085837067064634,0.0,0.0111639474193684,0.0
6397,0.25584,1,1,,0.0765628058901739,0.0,-0.0076348933389647,0.0
6398,0.25588,2,2,,0.0695091087428254,0.0,0.0144250079383315,0.0
6399,0.25592,3,1,,0.0706506331491259,0.0,-0.0225133958080277,0.0
6400,0.25596,4,2,,0.0656263685075529,0.0,0.0438770832196651,0.0
6401,0.256,5,1,,0.0886526020371985,0.0,0.0295018065491882,0.0
6402,0.25604,6,2,,0.0340164101399016,0.0,0.0115045789079396,0.0
6403,0.25608,7,1,,0.0048911807019368,0.0,0.0068662895446502,0.0
6404,0.25612,8,2,,0.0764165503169037,0.0,-0.0171335657451472,0.0
6405,0.25616,9,1,,0.1012169836198967,0.0,0.0049430901445684,0.0
6406,0.2562,10,2,,0.0785202766825412,0.0,0.0241089571745195,0.0
6407,0.25624,11,1,,0.0945744621306809,0.0,-0.0124957155811868,0.0
6408,0.25628,12,2,,0.0581486142036768,0.0,-0.0294914337522498,0.0
6409,0.25632,1,1,,0.0814384343954632,0.0,-0.0239564569459629,0.0
6410,0.25636,2,2,,0.0816444827979886,0.0,0.0525904145010221,0.0
6411,0.2564,3,1,,0.0747941905776706,0.0,0.0339978270640749,0.0
6412,0.25644,4,2,,0.0631801441336203,0.0,0.0575156812032155,0.0
6413,0.25648,5,1,,0.0891792055461032,0.0,0.0458866888868183,0.0
6414,0.25652,6,2,,0.03590821959828,0.0,0.0137219502527288,0.0
6415,0.25656,7,1,,0.056363521632456,0.0,-0.0356074199829216,0.0
6416,0.2566,8,2,,0.0662197525933731,0.0,0.0109971638447639,0.0
6417,0.25664,9,1,,0.0257878984273584,0.0,0.0006899573196544,0.0
6418,0.25668,10,2,,0.0650284656692229,0.0,0.0195235967426623,0.0
6419,0.25672,11,1,,0.0961040670949554,0.0,0.0272099375324937,0.0
6420,0.25676,12,2,,0.0598499642898014,0.0,0.0424306878452391,0.0
6421,0.2568,1,1,,0.0889493500926476,0.0,-0.0151952151125983,0.0
6422,0.25684,2,2,,0.0050309902009964,0.0,0.0058678185928064,0.0
6423,0.25688,3,1,,0.0823575753992134,0.0,-0.0056533492789787,0.0
6424,0.25692,4,2,,0.0755241707249906,0.0,0.0448637994476143,0.0
6425,0.25696,5,1,,0.0758044366759368,0.0,0.060565243755288,0.0
6426,0.257,6,2,,0.0818030710494489,0.0,0.0113444353473501,0.0
6427,0.25704,7,1,,0.0097454440358673,0.0,0.0111643782312808,0.0
6428,0.25708,8,2,,0.0773523125264745,0.0,0.0230068512543352,0.0
6429,0.25712,9,1,,0.0391003913377919,0.0,0.0045887292890551,0.0
6430,0.25716,10,2,,0.0698510196882474,0.0,-0.0175095161080758,0.0
6431,0.2572,11,1,,0.0695399153975894,0.0,0.0302120038432296,0.0
6432,0.25724,12,2,,0.0918997008311248,0.0,-0.0116033904680394,0.0
6433,0.25728,1,1,,0.0187483590541178,0.0,0.0151829750226726,0.0
6434,0.25732,2,2,,0.0585754251687835,0.0,-0.0159476123507892,0.0
6435,0.25736,3,1,,0.0601067619686359,0.0,-0.0179192762523404,0.0
6436,0.2574,4,2,,0.0656940364028458,0.0,-0.0348044196764533,0.0
6437,0.25744,5,1,,0.0052692544805127,0.0,0.022236400034813,0.0
6438,0.25748,6,2,,0.0764402214703768,0.0,0.0611757398827867,0.0
6439,0.25752,7,1,,0.0615149201277269,0.0,0.0173431050577579,0.0
6440,0.25756,8,2,,0.0735299980718168,0.0,-0.0255709313793126,0.0
6441,0.2576,9,1,,0.0876298441924319,0.0,0.0271654344402006,0.0
6442,0.25764,10,2,,0.0784895046664215,0.0,0.028696612603849,0.0
6443,0.25768,11,1,,0.0767448731587862,0.0,-0.0118858277602229,0.0
6444,0.25772,12,2,,0.0979149612696007,0.0,-0.0355182176106026,0.0
