particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
1330,0.16094915095377629,0.024,-640.13517917344745,-72.631634565526824,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16094915095377629,0.021999999999999999,0.0020000000000000018,0.12297130900125215,0.022032282135935694,644.24250244382506,neutral_100nm_low_pressure_redeposit
1331,0.17843179297729525,0.024,-656.79553934517935,-50.678693676996893,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17843179297729525,0.021999999999999999,0.0020000000000000018,0.031905821847905393,0.021927318505878129,658.74783528792864,neutral_100nm_low_pressure_redeposit
1332,0.16586811394797951,0.024,-765.13989247397183,-25.876049926931454,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16586811394797951,0.021999999999999999,0.0020000000000000018,0.12692458510415472,0.022142864157148268,765.57731485128409,neutral_100nm_low_pressure_redeposit
1333,0.16175366105735473,0.024,-625.97165637244996,-38.783674502136456,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16175366105735473,0.021999999999999999,0.0020000000000000018,0.14036888759527441,0.021664048627456162,627.1719764064369,neutral_100nm_low_pressure_redeposit
1334,0.16097056677299509,0.024,-660.324954240588,-11.693642620127676,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16097056677299509,0.021999999999999999,0.0020000000000000018,0.13704105039968967,0.022306313775874352,660.42848702229821,neutral_100nm_low_pressure_redeposit
1335,0.15988459845865674,0.024,-278.61127207737673,-33.419936936591526,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15988459845865674,0.021999999999999999,0.0020000000000000018,0.13543012618392208,0.022225711788850293,280.60850506251552,neutral_100nm_low_pressure_redeposit
1336,0.17633046163409716,0.024,-951.08336295462789,89.169321930073536,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17633046163409716,0.021999999999999999,0.0020000000000000018,0.1283535286180571,0.022134656666616185,955.25427571016587,neutral_100nm_low_pressure_redeposit
1337,0.1635650657347878,0.024,-400.9766728130873,-49.834589039437603,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.1635650657347878,0.021999999999999999,0.0020000000000000018,0.080194171095202674,0.021667485891098331,404.06160224028133,neutral_100nm_low_pressure_redeposit
1338,0.17002231536631218,0.024,-353.45846717026876,-28.519147969799587,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17002231536631218,0.021999999999999999,0.0020000000000000018,0.14171023326419807,0.022097056305693648,354.60714856764986,neutral_100nm_low_pressure_redeposit
1339,0.168201800633797,0.024,-633.66504381576499,-12.958539199409326,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.168201800633797,0.021999999999999999,0.0020000000000000018,0.13547290595762779,0.022118365379129028,633.79753193919748,neutral_100nm_low_pressure_redeposit
